operation_id,created_at,amount,bank,provider,decision,reason,result,latency_sec
hist_067,2026-07-29T12:26:51+03:00,21500,sber,vipay,selected,strategy_share_by_count,approved,57
hist_045,2026-07-29T12:30:17+03:00,7400,sber,quickpay,selected,strategy_share_by_count,approved,35
hist_026,2026-07-29T12:58:37+03:00,3700,tinkoff,payflow,selected,strategy_share_by_count,approved,55
hist_046,2026-07-29T13:48:09+03:00,23000,alfa,vipay,selected,strategy_share_by_count,approved,52
hist_049,2026-07-29T13:58:20+03:00,17000,gazprombank,payflow,selected,strategy_share_by_count,approved,60
hist_017,2026-07-29T14:03:56+03:00,13100,alfa,payflow,selected,strategy_share_by_count,approved,65
hist_060,2026-07-29T14:26:31+03:00,35800,yandex,payflow,selected,strategy_share_by_count,approved,4
hist_016,2026-07-29T14:43:12+03:00,8100,raiffeisen,fastline,selected,strategy_share_by_count,approved,16
hist_094,2026-07-29T14:57:51+03:00,20700,ozon,payflow,selected,strategy_share_by_count,approved,49
hist_001,2026-07-29T15:14:46+03:00,47500,tinkoff,payflow,selected,strategy_share_by_count,approved,85
hist_085,2026-07-29T15:21:24+03:00,6800,vtb,vipay,selected,strategy_share_by_count,approved,79
hist_029,2026-07-29T15:37:30+03:00,3700,vtb,vipay,selected,strategy_share_by_count,approved,21
hist_091,2026-07-29T15:39:57+03:00,51000,sber,quickpay,selected,strategy_share_by_count,approved,3
hist_005,2026-07-29T15:48:06+03:00,15100,vtb,payflow,selected,strategy_share_by_count,approved,66
hist_037,2026-07-29T16:21:11+03:00,4200,yandex,vipay,selected,strategy_share_by_count,approved,10
hist_095,2026-07-29T16:31:34+03:00,29700,gazprombank,payflow,selected,strategy_share_by_count,rejected,66
hist_071,2026-07-29T16:49:26+03:00,10200,yandex,vipay,selected,strategy_share_by_count,approved,59
hist_065,2026-07-29T16:51:32+03:00,24300,raiffeisen,quickpay,selected,strategy_share_by_count,rejected,38
hist_036,2026-07-29T16:58:55+03:00,6200,raiffeisen,vipay,selected,strategy_share_by_count,approved,43
hist_024,2026-07-29T17:13:23+03:00,19000,vtb,payflow,selected,strategy_share_by_count,expired,41
hist_058,2026-07-29T17:25:52+03:00,5000,gazprombank,payflow,selected,strategy_share_by_count,approved,25
hist_059,2026-07-29T18:10:17+03:00,52800,tinkoff,vipay,selected,strategy_share_by_count,approved,21
hist_051,2026-07-29T18:26:52+03:00,7500,yandex,quickpay,selected,strategy_share_by_count,approved,49
hist_056,2026-07-29T18:40:15+03:00,16100,alfa,payflow,selected,strategy_share_by_count,approved,88
hist_082,2026-07-29T19:07:46+03:00,21400,yandex,payflow,selected,strategy_share_by_count,approved,89
hist_020,2026-07-29T19:12:43+03:00,24500,vtb,quickpay,selected,strategy_share_by_count,rejected,32
hist_008,2026-07-29T19:17:59+03:00,6000,vtb,payflow,selected,strategy_share_by_count,approved,4
hist_097,2026-07-29T19:29:33+03:00,14200,ozon,quickpay,selected,strategy_share_by_count,rejected,53
hist_047,2026-07-29T19:31:56+03:00,36200,vtb,fastline,selected,strategy_share_by_count,approved,67
hist_061,2026-07-29T20:06:09+03:00,22900,alfa,vipay,selected,strategy_share_by_count,approved,35
hist_009,2026-07-29T20:06:49+03:00,7000,vtb,payflow,selected,strategy_share_by_count,approved,36
hist_033,2026-07-29T20:11:34+03:00,42800,sber,fastline,selected,strategy_share_by_count,rejected,21
hist_023,2026-07-29T20:25:30+03:00,16700,gazprombank,payflow,selected,strategy_share_by_count,approved,34
hist_057,2026-07-29T21:53:01+03:00,3100,vtb,vipay,selected,strategy_share_by_count,approved,71
hist_018,2026-07-29T22:19:16+03:00,13300,ozon,fastline,selected,strategy_share_by_count,approved,17
hist_028,2026-07-29T22:23:43+03:00,20500,yandex,payflow,selected,strategy_share_by_count,approved,75
hist_090,2026-07-29T22:24:02+03:00,41000,raiffeisen,vipay,selected,strategy_share_by_count,expired,25
hist_073,2026-07-29T23:01:13+03:00,31100,vtb,payflow,selected,strategy_share_by_count,approved,19
hist_003,2026-07-29T23:05:04+03:00,21800,vtb,fastline,selected,strategy_share_by_count,approved,60
hist_075,2026-07-29T23:08:05+03:00,7500,vtb,payflow,selected,strategy_share_by_count,rejected,19
hist_052,2026-07-29T23:13:33+03:00,3700,alfa,quickpay,selected,strategy_share_by_count,expired,19
hist_015,2026-07-29T23:30:51+03:00,4400,yandex,payflow,selected,strategy_share_by_count,approved,88
hist_043,2026-07-29T23:41:54+03:00,7300,yandex,fastline,selected,strategy_share_by_count,rejected,20
hist_066,2026-07-29T23:53:19+03:00,31000,vtb,vipay,selected,strategy_share_by_count,expired,84
